t,q1,q2,q3,qd1,qd2,qd3,tau1,tau2,tau3
6.348760128021240234e-01,8.600243924694362484e-20,-1.570796326792498476e+00,1.057676559003553784e-11,-7.564415034516276081e-19,4.085181781997260127e-12,1.762794846395168839e-11,2.180986070059237817e-17,-1.478695981333702614e+00,-1.478695981242438284e+00
6.448805332183837891e-01,8.866469587683864636e-20,-1.570796326792458508e+00,1.075304502255397126e-11,-1.347518168135964859e-18,4.085182651051705302e-12,1.762794243554648687e-11,4.158337398531539483e-16,-1.478695981338609577e+00,-1.478695981245820024e+00
6.537008285522460938e-01,8.746091481215941416e-20,-1.570796326792418540e+00,1.092932445074363443e-11,-1.374367995627761163e-18,4.085181093769218411e-12,1.762794527734912380e-11,-2.272057454413266311e-16,-1.478695981343506993e+00,-1.478695981249196434e+00
6.645417213439941406e-01,9.045586613519784834e-20,-1.570796326792378572e+00,1.110560386337010279e-11,5.800088794401429862e-19,4.085183667026927919e-12,1.762793920730119778e-11,1.411395485637665499e-15,-1.478695981348419952e+00,-1.478695981252579505e+00
6.754510402679443359e-01,9.018868927605777836e-20,-1.570796326792338604e+00,1.128188329865458778e-11,1.499484538501203361e-18,4.085184010392118890e-12,1.762794382495200363e-11,9.573827986524812885e-17,-1.478695981353312705e+00,-1.478695981255954361e+00
6.849663257598876953e-01,9.000998300921167675e-20,-1.570796326792298636e+00,1.145816273151535280e-11,-1.150902394127632831e-19,4.085183063633121842e-12,1.762794420675401423e-11,8.204206249167679894e-17,-1.478695981358216782e+00,-1.478695981259334324e+00
6.952490806579589844e-01,9.250160139913026192e-20,-1.570796326792258668e+00,1.163444215415900422e-11,7.725090550848086379e-20,4.085184397823133139e-12,1.762794422972950181e-11,1.203145006207078619e-16,-1.478695981363118861e+00,-1.478695981262712955e+00
7.067322731018066406e-01,9.601825323916046844e-20,-1.570796326792218700e+00,1.181072158429842580e-11,-2.238680018460187215e-19,4.085183677402216376e-12,1.762794256749654165e-11,-4.131553321599073166e-17,-1.478695981368020940e+00,-1.478695981266092030e+00
7.159347534179687500e-01,9.376699121470186026e-20,-1.570796326792178732e+00,1.198700101449300353e-11,-9.234229003206780671e-19,4.085183799339247419e-12,1.762794391106340533e-11,-3.174255886531778929e-16,-1.478695981372922130e+00,-1.478695981269470439e+00
7.252070903778076172e-01,9.894042648116034660e-20,-1.570796326792138764e+00,1.216328043163274218e-11,1.008108676830918520e-18,4.085184681343287478e-12,1.762794234975908471e-11,-3.913441919143048955e-16,-1.478695981377822877e+00,-1.478695981272848625e+00
7.364261150360107422e-01,9.825110535863440935e-20,-1.570796326792098796e+00,1.233955987457525559e-11,7.737255073783052606e-20,4.085184165523936188e-12,1.762794277798178305e-11,7.467408143581297487e-16,-1.478695981382733615e+00,-1.478695981276231253e+00
7.468769550323486328e-01,1.050807200364022990e-19,-1.570796326792058828e+00,1.251583930039568446e-11,7.724108318299325841e-19,4.085182087731105862e-12,1.762794400784541108e-11,1.240451297280885240e-15,-1.478695981387639025e+00,-1.478695981279610772e+00
